name,latitude,longitude
M001,-30.681655,21.4469635
M002,-30.68682,21.4146123
M003,-30.68682,21.4731677
M004,-30.695255,21.4285756
M005,-30.703263,21.4499502
M006,-30.704205,21.4823636
M007,-30.70564,21.434536
M008,-30.706845,21.4605717
M009,-30.707114,21.4062526
M010,-30.708649,21.4247587
M011,-30.70902,21.4419898
M012,-30.709472,21.4487038
M013,-30.709702,21.4402247
M014,-30.710027,21.4456766
M015,-30.710184,21.4564328
M016,-30.71021,21.4464625
M017,-30.710901,21.4428561
M018,-30.71105,21.4399959
M019,-30.711264,21.4443122
M020,-30.71131,21.4476236
M021,-30.711841,21.4433554
M022,-30.712068,21.445973
M023,-30.712174,21.4429627
M024,-30.712212,21.4373145
M025,-30.712338,21.4405252
M026,-30.712605,21.4439008
M027,-30.712687,21.4479204
M028,-30.712732,21.4468974
M029,-30.71288,21.4431947
M030,-30.712925,21.443803
M031,-30.713031,21.4460884
M032,-30.713078,21.4435544
M033,-30.713273,21.4449926
M034,-30.713336,21.4425991
M035,-30.713608,21.4428239
M036,-30.713627,21.4456721
M037,-30.713632,21.4468189
M038,-30.713677,21.4479423
M039,-30.71372,21.4436985
M040,-30.713758,21.4449023
M041,-30.714007,21.4407999
M042,-30.714231,21.4447659
M043,-30.714376,21.4453505
M044,-30.714402,21.4442268
M045,-30.714604,21.4463607
M046,-30.714687,21.4429543
M047,-30.715197,21.447859
M048,-30.715206,21.4401136
M049,-30.715563,21.4529914
M050,-30.715672,21.444809
M051,-30.71572,21.4378529
M052,-30.71588,21.4429127
M053,-30.716188,21.446116
M054,-30.716396,21.4465384
M055,-30.717023,21.440888
M056,-30.717478,21.4436093
M057,-30.717994,21.4350137
M058,-30.718662,21.4224655
M059,-30.721414,21.4376965
M060,-30.722819,21.4439872
M061,-30.727648,21.4795886
M062,-30.727648,21.4081913
M063,-30.732012,21.4437176
M064,-30.733634,21.4288489
SKA001,-30.71329,21.449412
SKA002,-30.711544,21.443214
SKA003,-30.710966,21.442342
SKA004,-30.262608,22.2217939
SKA005,-30.266774,20.8890257
SKA006,-30.268699,21.1118102
SKA007,-30.308442,21.2857055
SKA008,-30.32309,20.6206745
SKA009,-30.369509,21.4128112
SKA010,-30.439265,21.4812139
SKA011,-30.495371,22.1574255
SKA012,-30.508317,21.5473569
SKA013,-30.571138,21.5733041
SKA014,-30.622713,21.56761
SKA015,-30.638584,21.374214
SKA016,-30.641813,21.3340906
SKA017,-30.642963,21.4063313
SKA018,-30.651906,21.430449
SKA019,-30.656278,21.2871238
SKA020,-30.663055,21.4472571
SKA021,-30.663947,22.0491848
SKA022,-30.666963,21.5687373
SKA023,-30.674663,21.4578392
SKA024,-30.685568,21.4634453
SKA025,-30.685611,21.2352359
SKA026,-30.693932,21.466419
SKA027,-30.698639,21.5519732
SKA028,-30.701155,21.4286368
SKA029,-30.701264,21.4344917
SKA030,-30.702356,21.439049
SKA031,-30.70258,21.4215593
SKA032,-30.702805,21.4645868
SKA033,-30.704982,21.4444697
SKA034,-30.706149,21.4135728
SKA035,-30.706517,21.4409894
SKA036,-30.70782,21.4453007
SKA037,-30.708744,21.4622289
SKA038,-30.708913,21.4405906
SKA039,-30.709254,21.4436864
SKA040,-30.709314,21.4346288
SKA041,-30.71069,21.4416387
SKA042,-30.711168,21.4451202
SKA043,-30.711278,21.4390904
SKA044,-30.71128,21.4437639
SKA045,-30.711729,21.4522796
SKA046,-30.711825,21.4443592
SKA047,-30.711918,21.4405425
SKA048,-30.712025,21.4423558
SKA049,-30.712107,21.4435744
SKA050,-30.712193,21.4444375
SKA051,-30.712207,21.4439168
SKA052,-30.71221,21.4426256
SKA053,-30.712317,21.4433231
SKA054,-30.712406,21.4473345
SKA055,-30.712409,21.4416585
SKA056,-30.712428,21.4436675
SKA057,-30.71245,21.4429691
SKA058,-30.712485,21.4422514
SKA059,-30.712544,21.4442278
SKA060,-30.712547,21.4052401
SKA061,-30.712552,21.445672
SKA062,-30.712597,21.4432796
SKA063,-30.712648,21.4352434
SKA064,-30.712715,21.4426044
SKA065,-30.712722,21.4429391
SKA066,-30.71285,21.4445107
SKA067,-30.712941,21.4451171
SKA068,-30.71295,21.4419132
SKA069,-30.712981,21.4426862
SKA070,-30.712981,21.4590247
SKA071,-30.712991,21.4441059
SKA072,-30.71309,21.4423381
SKA073,-30.713174,21.4432221
SKA074,-30.71328,21.442917
SKA075,-30.713328,21.4439358
SKA076,-30.713364,21.4442883
SKA077,-30.713405,21.4400382
SKA078,-30.713413,21.4422628
SKA079,-30.713434,21.4435953
SKA080,-30.71348,21.4432548
SKA081,-30.713603,21.4446124
SKA082,-30.713665,21.4440499
SKA083,-30.713717,21.4377571
SKA084,-30.713786,21.4418779
SKA085,-30.713809,21.4424806
SKA086,-30.713858,21.4434036
SKA087,-30.714023,21.4427442
SKA088,-30.714159,21.4436833
SKA089,-30.71416,21.4457952
SKA090,-30.714684,21.4410498
SKA091,-30.714778,21.4435517
SKA092,-30.714879,21.4474835
SKA093,-30.714887,21.4421612
SKA094,-30.715123,21.4442517
SKA095,-30.71568,21.4398972
SKA096,-30.715743,21.4555383
SKA097,-30.716027,21.4439389
SKA098,-30.716174,21.4376419
SKA099,-30.716377,21.4449919
SKA100,-30.717223,21.4490364
SKA101,-30.718358,21.444662
SKA102,-30.71874,21.4363558
SKA103,-30.719265,21.4402166
SKA104,-30.720233,21.4472659
SKA105,-30.723924,21.533032
SKA106,-30.721009,21.4339794
SKA107,-30.722426,21.3974997
SKA108,-30.724996,21.4350033
SKA109,-30.729515,21.4376456
SKA110,-30.734134,21.5105276
SKA111,-30.734251,21.4424172
SKA112,-30.735364,21.1844568
SKA113,-30.736333,21.3917083
SKA114,-30.738661,21.4498209
SKA115,-30.736857,21.4908526
SKA116,-30.742016,21.4602722
SKA117,-30.736715,21.4728481
SKA118,-30.753799,21.3946819
SKA119,-30.776987,21.3936716
SKA120,-30.781482,21.9307624
SKA121,-30.80286,21.4064274
SKA122,-30.808077,21.1403739
SKA123,-30.839095,21.4255118
SKA124,-30.850668,21.8087982
SKA125,-30.865551,21.4607747
SKA126,-30.879119,21.5267438
SKA127,-30.883676,21.6973379
SKA128,-30.890232,21.6024953
SKA129,-30.907047,21.1131812
SKA130,-31.040003,21.078446
SKA131,-31.187658,21.1654996
SKA132,-31.351808,21.2740177
SKA133,-31.524423,21.4678033
